Date,Total Vacs,Total Distinct Vacs
2020-12-28,386,386
2020-12-29,1056,1056
2020-12-30,1709,1709
2020-12-31,2313,2313
2021-01-01,2591,2591
2021-01-02,3132,3132
2021-01-03,3843,3843
2021-01-04,9975,9975
2021-01-05,16233,16233
2021-01-06,20466,20466
2021-01-07,26006,26006
2021-01-08,34787,34787
2021-01-09,40163,40163
2021-01-10,44080,44080
2021-01-11,49645,49645
2021-01-12,56199,56199
2021-01-13,64619,64619
2021-01-14,70695,70695
2021-01-15,75276,75276
2021-01-16,79744,79744
2021-01-18,85223,84803
2021-01-19,93179,92139
2021-01-20,107335,105700
2021-01-21,123347,121109
2021-01-22,140870,138312
2021-01-23,157388,154273
2021-01-25,177377,169456
2021-01-26,195783,182778
2021-01-27,213735,196009
2021-01-28,232070,208461
2021-01-29,251303,218910
2021-01-30,269106,230518
